CNPJ;Endereço;DATA DA SITUAÇÃO ESPECIAL;SITUAÇÃO ESPECIAL;CORREIO ELETRÔNICO;FAX;DDD DO FAX;TELEFONE 2;DDD 2;TELEFONE 1;DDD 1;MUNICÍPIO;UF;CEP;CNAE FISCAL SECUNDÁRIA;CNAE FISCAL PRINCIPAL;DATA DE INÍCIO ATIVIDADE;PAIS;MOTIVO SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;NOME FANTASIA;IDENTIFICADOR MATRIZ/FILIAL
53049560000105;RUA AT�LIO B�RIO 80 APT   904                 ANDAR 09                  COND  BETAVILLE ED CRISTO REI;"";"";REGINA@LUGI.COM.BR;"";"";00000000;0000;99620166;41;7535;PR;80050250;4120400,4399103,6821801,8219999;7112000;20231129;105;00;20231129;"";1
50920267000175;AVENIDA TIPUANAS 365 SALA  03 MADRI;"";"";PRATICOMPRAS.COMERCIAL@GMAIL.COM;"";"";00000000;0000;88640094;48;8233;SC;88136300;4723700,4729602,4753900,4754701,4759899,4761003,4639701,4729699,4751201;4712100;20230602;105;00;20230602;PRATICOMPRAS;1
80179054000286;RUA CARLOS POULHMANN 9295  MARIA ANTONIETA;"";"";JCPLOCACOES@GMAIL.COM;"";"";"";"";85242276;41;5453;PR;83331090;7732201;4781400;20200728;"";00;20200728;JCP LOCACOES;2
59500768000177;PRAIA DE BOTAFOGO 501 5 ANDAR - PARTE BOTAFOGO;"";"";OL-DOCUMENTACAO-SOCIETARIO@BTGPACTUAL.COM;25148600;21;"";"";32629600;21;6001;RJ;22250040;"";6470102;20250217;"";00;20250217;"";1
43761794000119;RUA LUIZ GAMA 164  MACUCO;"";"";ATELIEFLORDECEREJEIRA@GMAIL.COM;"";"";"";"";33013574;13;7071;SP;11015150;"";9602502;20211004;"";00;20211004;"";1
55152314000100;RUA QUATORZE 47  JARDIM ALIANCA II;"";"";DALTONBRANDAO01@GMAIL.COM;"";"";"";"";88762992;24;5883;RJ;27525846;"";5229099;20240516;"";00;20240516;"";1
50520932000133;RUA JAROBA 73 CASA VILA JOANIZA;"";"";BINA.MATOS17@HOTMAIL.COM;"";"";"";"";39595514;11;7107;SP;04403250;7420001;4789008;20230502;"";00;20230502;"";1
49759073000150;RUA WALTER ENGRACIA DE OLIVEIRA 55  JARDIM CRISTO REDENTOR;"";"";CKKSANTOS34@GMAIL.COM;"";"";"";"";88216228;16;6969;SP;14063256;"";7319002;20230301;"";00;20230301;"";1
60707897000110;AVENIDA CONTORNO NORTE 2 SALA 2A COHATRAC II;"";"";COISASDAPRETARE@GMAIL.COM;"";"";"";"";85653180;98;0921;MA;65053780;9602501;4781400;20250507;"";00;20250507;"";1
29214283000156;RUA JOCI DE SOUZA 122  PAIOL DE POLVORA;"";"";"";"";"";"";"";26920059;21;5863;RJ;26545015;"";3212400;20171205;"";00;20171205;"";1
50969034000167;RUA SORIANO DE ALBUQUERQUE 205  JARDIM MACEDONIA;"";"";IGUINHO.FIITCCH@GMAIL.COM;"";"";"";"";96564582;11;7107;SP;05894440;"";5320202;20230607;"";00;20230607;"";1
13111435000155;RUA GUSTAVO BRUSQUE 22  PIRABEIRABA;"";"";ELI.TURMENA.ROZA@GMAIL.COM;"";"";"";"";96700359;47;8179;SC;89239273;1091102,4721102,4722901,5320202;4712100;20110112;"";00;20110112;"";1
18315236000263;FAZENDA NR SN  ZONA RURAL;"";"";emcrancharia@gmail.com;32656532;18;32656532;18;99753705;18;6945;SP;19600000;0116401,0111399;0151201;20140124;"";00;20140124;"";2
60632061000101;10A RUA PALMEIRAS 135  PRIMAVERA;"";"";ANDRELUCASVITORALBERTO@GMAIL.COM;"";"";"";"";99076983;35;5337;MG;37143000;4742300,5819100,9511800,4752100,4751201,4759899,8599603,4753900,4757100;7319002;20250501;"";00;20250501;"";1
